name,name_lower,genre,actor,director,country,year,link
На трезвую голову,на трезвую голову,"['комедия', 'драма']","['кевин костнер', 'мадлен кэрролл', 'пола пэттон', 'келси грэммер', 'деннис хоппер']",['джошуа майкл штерн'],['сша'],2008,https://www.imdb.com/title/tt1027862/
Среди акул,среди акул,"['драма', 'комедия']","['кевин спейси', 'фрэнк уэйли', 'мишель форбс', 'бенисио дель торо']",['джордж хуанг'],['сша'],1994,https://www.imdb.com/title/tt0114594/
Swing Girls,swing girls,['комедия'],[],['синобу ягути'],['япония'],2004,https://www.imdb.com/title/tt0435434/
Ставки сделаны,ставки сделаны,"['криминальная', 'комедия', 'триллер']","['изабель юппер', 'мишель серро']",['клод шаброль'],"['франция', 'швейцария']",1997,https://www.imdb.com/title/tt0120018/
Отнесённые необыкновенной судьбой в лазурное море в августе,отнесённые необыкновенной судьбой в лазурное море в августе,"['драма', 'комедия']","['джанкарло джаннини', 'марианджела мелато']",['лина вертмюллер'],['италия'],1974,https://www.imdb.com/title/tt0073817/
Бассейн,бассейн,['слэшер'],"['кристен миллер', 'джон хопкинс', 'джеймс макэвой']",['борис фон зиховски'],['германия'],2001,https://www.imdb.com/title/tt0283027/
Пловец,пловец,['драма'],['берт ланкастер'],['фрэнк перри'],['сша'],1968,https://www.imdb.com/title/tt0063663/
Фанатка,фанатка,['триллер'],"['джесси бредфорд', 'шири эплби', 'эрика кристенсен']",['джон полсон'],['сша'],2002,https://www.imdb.com/title/tt0283026/
Унесённые,унесённые,"['комедия', 'мелодрама']","['мадонна', 'адриано джаннини']",['гай ричи'],"['великобритания', 'италия', 'сша']",2002,https://www.imdb.com/title/tt0291502/
Милашка,милашка,"['мелодрама', 'комедия']","['камерон диас', 'кристина эпплгейт', 'томас джейн', 'сельма блэр']",['роджер камбл'],['сша'],2002,https://www.imdb.com/title/tt0253867/
Сладкий запах успеха,сладкий запах успеха,"['драма', 'нуар']","['берт ланкастер', 'тони кёртис']",['александр маккендрик'],['сша'],1957,https://www.imdb.com/title/tt0051036/
Свит Свитбэк: Песня мерзавца,свит свитбэк: песня мерзавца,"['экшн', 'криминал', 'драма']",['мелвин ван пиблз'],['мелвин ван пиблз'],['сша'],1971,https://www.imdb.com/title/tt0067810/
Милые шестнадцать лет,милые шестнадцать лет,['драма'],"['мартин компстон', 'уильям руэйн', 'эннмари фултон']",['кен лоуч'],"['великобритания', 'германия', 'испания']",2002,https://www.imdb.com/title/tt0313670/
Сладкий ноябрь,сладкий ноябрь,['мелодрама'],"['киану ривз', 'шарлиз терон', 'джейсон айзекс', 'грег германн']",['пэт о’коннор'],['сша'],2001,https://www.imdb.com/title/tt0230838/
Сладкий фильм,сладкий фильм,"['комедия', 'драма']","['кароль лор', 'джон вернон', 'анна пруцналь']",['душан макавеев'],"['канада', 'франция', 'фрг']",1974,https://www.imdb.com/title/tt0072235/
Сладкий ноябрь,сладкий ноябрь,['драма'],"['сэнди деннис', 'энтони ньюли', 'теодор бикель', 'берр де беннинг', 'сэнди бэрон', 'мардж дюсэй']",['роберт эллис миллер'],['сша'],1968,https://www.imdb.com/title/tt0063661/
Сладкий и гадкий,сладкий и гадкий,"['комедия', 'музыкальный фильм', 'псевдодокументальный фильм']","['шон пенн', 'саманта мортон', 'ума турман']",['вуди аллен'],['сша'],1999,https://www.imdb.com/title/tt0158371/
Стильная штучка,стильная штучка,['романтическая кинокомедия'],"['риз уизерспун', 'джош лукас', 'патрик демпси']",['энди теннант'],['сша'],2002,https://www.imdb.com/title/tt0256415/
Славное будущее,славное будущее,['драма'],"['иэн холм', 'сара полли']",['атом эгоян'],['канада'],1997,https://www.imdb.com/title/tt0120255/
Сладкие грёзы,сладкие грёзы,"['фильм-биография', 'музыкальный', 'драма']","['джессика лэнг', 'эд харрис']",['карел рейш'],['сша'],1985,https://www.imdb.com/title/tt0090110/
Милая Чарити,милая чарити,"['мюзикл', 'комедия', 'драма']","['ширли маклейн', 'джон макмартин']",['боб фосс'],['сша'],1969,https://www.imdb.com/title/tt0065054/
Бьянка,бьянка,"['притча', 'комедия']","['нанни моретти', 'лаура моранте', 'роберто веццоси', 'ремо ремотти', 'винченцо салемме']",['нанни моретти'],['италия'],1984,https://www.imdb.com/title/tt0085240/
Шведская история любви,шведская история любви,"['драма', 'мелодрама']","['анн-софи кюлин', 'рольф сольман', 'анита линдблом', 'бертиль норстрём', 'бьёрн андресен']",['рой андерссон'],['швеция'],1970,https://www.imdb.com/title/tt0065955/
"Суини Тодд, демон-парикмахер с Флит-стрит","суини тодд, демон-парикмахер с флит-стрит","['мюзикл', 'драма', 'триллер']","['джонни депп', 'хелена бонэм картер', 'алан рикман']",['тим бёртон'],"['сша', 'великобритания']",2007,https://www.imdb.com/title/tt0408236/
Нежные руки Деборы,нежные руки деборы,['джалло'],[],['ромоло гуэррьери'],"['италия', 'франция']",1968,https://www.imdb.com/title/tt0064243/
Рой,рой,['драма'],"['иван агафонов', 'виктор смирнов', 'борис галкин', 'владимир ильин']",['владимир хотиненко'],['ссср'],1990,https://www.imdb.com/title/tt0100521/
Голоса,голоса,['психологическая комедия'],"['райан рейнольдс', 'анна кендрик', 'джемма артертон']",['маржан сатрапи'],"['сша', 'германия']",2014,https://www.imdb.com/title/tt1567437/
Голоса Чернобыля,голоса чернобыля,"['драма', 'исторический']","['динара друкарова', 'игорь бершадский']",['поль крухтен'],"['люксембург', 'австрия', 'украина']",2016,https://www.imdb.com/title/tt3969688/
Голос из камня,голос из камня,"['драма', 'триллер', 'детектив']","['эмилия кларк', 'мартон чокаш', 'катерина мурино', 'кейт линдер', 'лиза гастони', 'ремо джироне', 'джампьеро джудика', 'nicole cadeddu', 'эдвард дринг', 'антонелла бритти']",['эрик д. хауэлл'],"['сша', 'италия']",2017,https://www.imdb.com/title/tt1544608/
Голос скрипки,голос скрипки,['драматический фильм'],"['артур в. джонсон', 'мэрион леонард', 'фрэнк пауэлл']",['дэвид уорк гриффит'],['сша'],1909,https://www.imdb.com/title/tt0001084/
Голос луны,голос луны,"['притча', 'приключения', 'драма', 'комедия', 'мелодрама']","['паоло вилладжо', 'роберто бениньи']",['федерико феллини'],"['италия', 'франция']",1990,https://www.imdb.com/title/tt0098606/
Голос,голос,['драма'],[],['илья авербах'],['ссср'],1982,https://www.imdb.com/title/tt0084012/
The Voice of the Child,the voice of the child,['драматический фильм'],"['эдвин аугуст', 'бланш свит', 'инез сибёри']",['дэвид уорк гриффит'],['сша'],1911,https://www.imdb.com/title/tt0001968/
Невинные голоса,невинные голоса,['драма'],['леонор варела'],['луис мандоки'],"['мексика', 'сша', 'пуэрто-рико']",2004,https://www.imdb.com/title/tt0387914/
Желание подсматривать,желание подсматривать,"['эротика', 'драма']","['дженни тамбури', 'лаура гемсер', 'лилли карати']",['лаура гемсер'],['италия'],1986,https://www.imdb.com/title/tt0092180/
Тайна печати дракона,тайна печати дракона,"['фэнтези', 'приключения', 'боевик']","['джейсон флеминг', 'чарльз дэнс', 'рутгер хауэр', 'павел воля', 'андрей мерзликин', 'юрий колокольников', 'джеки чан', 'арнольд шварценеггер']",['олег степченко'],"['россия', 'китай']",2019,https://www.imdb.com/title/tt6218010/
Жить своей жизнью,жить своей жизнью,['драма'],"['анна карина', 'сади реббо']",['жан-люк годар'],['франция'],1962,https://www.imdb.com/title/tt0056663/
Вий,вий,['ужасы'],"['леонид куравлёв', 'наталья варлей']","['константин ершов', 'георгий кропачёв']",['ссср'],1967,https://www.imdb.com/title/tt0062453/
Мегера,мегера,"['эротика', 'комедия']","['эрика гэвин', 'гарт пиллсберри', 'харрисон пейдж']",['расс мейер'],['сша'],1968,https://www.imdb.com/title/tt0063787/
Лисица,лисица,['драма'],"['теда бара', 'мэри г. мартин']",['гордон эдвардс'],['сша'],1916,https://www.imdb.com/title/tt0007524/
Вий,вий,"['фантастика', 'ужасы']","['и. лангфельд', 'платонов', 'дальская']",['василий гончаров'],['российская империя'],1909,None
Вивариум,вивариум,"['научная фантастика', 'триллер', '[d]']","['джесси айзенберг', 'имоджен путс']",['лоркан финнеган'],"['сша', 'великобритания', 'ирландия', 'бельгия', 'дания']",2019,https://www.imdb.com/title/tt8368406/
"Вива, Мария!","вива, мария!","['комедия', 'боевик']","['брижит бардо', 'жанна моро']",['луи маль'],"['франция', 'италия']",1965,https://www.imdb.com/title/tt0059956/
Да здравствует Лас-Вегас!,да здравствует лас-вегас!,"['музыкальный фильм', 'мелодрама']","['элвис пресли', 'энн-маргрет', 'чезаре данова', 'уильям демарест']","['джордж сидни', 'сидни, джордж', '[5]', '[6]', '[7]']",['сша'],1964,https://www.imdb.com/title/tt0058725/
"Вива, эротика","вива, эротика","['комедия', 'драма']","['лесли чун', 'карен мок', 'шу ци']",['дерек и'],['гонконг'],1996,https://www.imdb.com/title/tt0117575/
Маленькие беглецы,маленькие беглецы,"['комедия', 'драма']",[],"['хуан карлос кремата малберти ', 'ираида малберти кабрера']",['куба'],2005,https://www.imdb.com/title/tt0477916/
Жыве Беларусь!,жыве беларусь!,['драма'],"['дмитрий папко', 'каролина грушка', 'анатолий кот', 'павел криксунов', 'лех лотоцкий', 'александр молчанов', 'денис тарасенко']",['кшиштоф лукашевич'],['польша'],2012,https://www.imdb.com/title/tt2723138/
Витал,витал,"['драма', 'триллер']","['нами цукамото', 'таданобу асано']",['синъя цукамото'],['япония'],2004,https://www.imdb.com/title/tt0417243/
Вита и Вирджиния,вита и вирджиния,"['драма', 'мелодрама', 'биография']","['джемма артертон', 'элизабет дебики', 'руперт пенри-джонс', 'гетин энтони']",['чания баттон'],"['ирландия', 'великобритания']",2018,https://www.imdb.com/title/tt5859882/
Пришельцы,пришельцы,"['комедия', 'фантастика']","['жан рено', 'кристиан клавье', 'валери лемерсье', 'мари-анн шазель', 'кристиан бюжо']",['жан-мари пуаре'],['франция'],1993,https://www.imdb.com/title/tt0108500/
Пришельцы 2: Коридоры времени,пришельцы 2: коридоры времени,"['фантастика', 'комедия', 'фэнтези']","['жан рено', 'кристиан клавье', 'мари-анн шазель', 'мюриэль робин', 'кристиан бюжо']",['жан-мари пуаре'],['франция'],1998,https://www.imdb.com/title/tt0120882/
Визуальная Библия: Евангелие от Матфея,визуальная библия: евангелие от матфея,"['фильм-биография', 'семейный фильм', 'драма']","['брюс марчиано', 'ричард кили']",['регарт ван ден берг'],"['юар', 'марокко', 'сша']",1993,https://www.imdb.com/title/tt0301359/
Посетитель,посетитель,['драма'],"['ричард дженкинс', 'хааз слейман', 'данай гурира', 'хиам аббасс']",['том маккарти'],['сша'],2007,https://www.imdb.com/title/tt0857191/
Гости,гости,['драма'],"['джеймс вудс', 'чико мартинес', 'стив рэйлсбэк', 'патрик маквэй', 'патриция джойс']",['элиа казан'],['сша'],1972,https://www.imdb.com/title/tt0069466/
Посетитель музея,посетитель музея,"['драма', 'постапокалипсис']",['вера майорова'],['константин лопушанский'],"['ссср', 'швейцария', 'фрг']",1989,https://www.imdb.com/title/tt0173024/
Визит,визит,['ужасы'],"['оливия деджонг', 'кэтрин хан', 'эд оксенбулд', 'питер макробби', 'динна даннаган']",['м. найт шьямалан'],['сша'],2015,https://www.imdb.com/title/tt3567288/
Визит,визит,['драма'],"['ингрид бергман', 'энтони куинн']",['бернхард викки'],"['сша', 'германия', 'франция', 'италия']",1964,https://www.imdb.com/title/tt0058724/
Визит к Минотавру,визит к минотавру,['детектив'],"['сергей шакуров', 'анна каменкова', 'владимир самойлов', 'валентин гафт', 'александр филиппенко']",['эльдор уразбаев'],['ссср'],1987,https://www.imdb.com/title/tt0092477/
"О, что за чудесная война","о, что за чудесная война","['музыкальный', 'военный', 'комедия']",['актёрский ансамбль'],['ричард аттенборо'],['великобритания'],1969,https://www.imdb.com/title/tt0064754/
"О, Божественный пёс","о, божественный пёс",['комедия'],"['чеви чейз', 'омар шариф', 'джейн сеймур']",['джо кэмп'],['сша'],1980,https://www.imdb.com/title/tt0081269/
"О, Доктор!","о, доктор!",['комедия'],"['роско арбакл', 'бастер китон', 'эл сент-джон']",['роско арбакл'],['сша'],1917,https://www.imdb.com/title/tt0008377/
"Папа, папа, бедный папа, ты не вылезешь из шкафа, ты повешен нашей мамой между платьем и пижамой","папа, папа, бедный папа, ты не вылезешь из шкафа, ты повешен нашей мамой между платьем и пижамой",['чёрная комедия'],"['розалинд расселл', 'роберт морс', 'барбара харрис']",['ричард куайн'],['сша'],1967,https://www.imdb.com/title/tt0062067/
Демоны 3,демоны 3,['ужасы'],['сабрина ферилли'],['ламберто бава'],['италия'],1988,https://www.imdb.com/title/tt0095775/
Дракон,дракон,['триллер'],"['динос илиопулос', 'яннис аргюрис']",['никос кундурос'],['греция'],1956,https://www.imdb.com/title/tt0124437/
Лесной царь,лесной царь,"['драматический фильм', 'экранизация романа', '[d]']","['джон малкович', 'готфрид йон', 'фолькер шпенглер', 'армин мюллер-шталь']","['фолькер шлёндорф', '[1]']","['германия', 'франция', 'великобритания']",1996,https://www.imdb.com/title/tt0118043/
Опасные секреты,опасные секреты,['драма'],"['кира найтли', 'мэтт смит']",['гэвин худ'],"['великобритания', 'сша']",2019,https://www.imdb.com/title/tt5431890/
