name,name_lower,genre,actor,director,country,year,link
Сестры по крови,сестры по крови,['драма'],"['диего луна', 'виктория абриль', 'ариадна хиль', 'пилар лопес де айяла']",['агустин диас янес'],"['испания', 'мексика']",2008,https://www.imdb.com/title/tt1078600/
Пришельцы в Америке,пришельцы в америке,"['фантастика', 'фэнтези', 'комедия']","['жан рено', 'кристина эпплгейт']",['жан-мари пуаре'],[],2001,https://www.imdb.com/title/tt0189192/
Кето и Котэ,кето и котэ,['комедия'],"['медея джапаридзе', 'бату кравайшвили', 'тамара чавчавадзе']","['вахтанг таблиашвили', 'шалва гедеванишвили']",['ссср'],1948,https://www.imdb.com/title/tt0045957/
Кавказская пленница!,кавказская пленница!,['комедия'],"['дмитрий шаракоис', 'анастасия задорожная', 'семён стругачёв', 'николай добрынин', 'сергей степанченко', 'геннадий хазанов']",['максим воронков'],['россия'],2014,https://www.imdb.com/title/tt4537362/
Грозовой перевал,грозовой перевал,"['драма', 'мелодрама', 'музыкальный']","['эрика кристенсен', 'майк фогель']",['рус.'],['сша'],2003,https://www.imdb.com/title/tt0367245/
Уайетт Эрп,уайетт эрп,"['вестерн', 'биография']","['кевин костнер', 'деннис куэйд', 'джин хэкмэн', 'билл пуллман', 'джоанна гоинг']",['лоуренс кэздан'],['сша'],1994,https://www.imdb.com/title/tt0111756/
Грозовой перевал,грозовой перевал,"['драма', 'мелодрама']",['кая скоделарио'],['андреа арнольд'],['великобритания'],2011,https://www.imdb.com/title/tt1181614/
Грозовой перевал,грозовой перевал,['мелодрама'],"['мерл оберон', 'лоренс оливье']",['уильям уайлер'],['сша'],1939,https://www.imdb.com/title/tt0032145/
Грозовой перевал,грозовой перевал,"['драма', 'любовная история']","['рус.', 'рус.']",['луис бунюэль'],['мексика'],1953,https://www.imdb.com/title/tt0046675/
Грозовой перевал,грозовой перевал,['драма'],"['рус.', 'колетт бреттель']",['а. в. брамбл'],['великобритания'],1920,https://www.imdb.com/title/tt0011886/
Грозовой перевал,грозовой перевал,"['драма', 'любовная история']","['тимоти далтон', 'рус.']",['рус.'],['великобритания'],1970,https://www.imdb.com/title/tt0066585/
Вереск,вереск,['мелодрама'],"['франтишек бродневич', 'станислава ангель-энгелювна']",['юлиуш гардан'],['польша'],1938,https://www.imdb.com/title/tt0153960/
Без вины виноватый,без вины виноватый,"['боевик', 'комедия']","['лесли нильсен', 'ричард кренна', 'келли леброк']",['пэт профт'],"['сша', 'германия']",1998,https://www.imdb.com/title/tt0120901/
Поворот с Тахо,поворот с тахо,"['криминальный фильм', 'триллер']","['кьюба гудинг мл.', 'мигель феррер', 'харви кейтель']",['фрэнк халфоун'],['сша'],2009,https://www.imdb.com/title/tt1393000/
Поворот не туда 7: Наследие,поворот не туда 7: наследие,['ужасы'],"['мэттью модайн', 'билл сейдж']",['майк п нельсон'],"['сша', 'германия', 'канада']",2021,https://www.imdb.com/title/tt9110170/
Изнанка города,изнанка города,"['боевик', 'криминальный фильм']","['роб ван дам', 'дэйв батиста', 'джерри кац', 'джа рул']",['дэвид дефалко'],['сша'],2010,https://www.imdb.com/title/tt1431191/
Хроники обыкновенного безумия,хроники обыкновенного безумия,"['комедия', 'драма']","['иван троян', 'zuzana šulajová', 'зузана стивинова', 'мирослав кробот', 'nina divíšková', 'karel hermánek']",['петр зеленка'],"['чехия', 'германия', 'словакия']",2005,https://www.imdb.com/title/tt0408120/
Неправый прав,неправый прав,['политический детектив'],['шон коннери'],['ричард брукс'],['сша'],1982,https://www.imdb.com/title/tt0084920/
Не тот,не тот,"['триллер', 'мелодрама']","['розанна аркетт', 'джон литгоу']",['джим макбрайд'],['сша'],1993,https://www.imdb.com/title/tt0108597/
Не та девушка,не та девушка,['романтическая комедия'],"['дэвид спейд', 'лорен лэпкус', 'ник свардсон', 'джефф пирсон', 'джеки сэндлер', 'сара чок', 'роб шнайдер', 'роман рейнс', 'молли симс', 'хорхе гарсиа', 'ванилла айс']",['тайлер спиндел'],['сша'],2020,https://www.imdb.com/title/tt9619798/
Скауты,скауты,['комедия'],[],['дэнни билсон'],['сша'],1988,https://www.imdb.com/title/tt0096466/
Обратная связь,обратная связь,['производственная драма'],"['олег янковский', 'михаил ульянов', 'кирилл лавров', 'людмила гурченко']",['виктор трегубович'],['ссср'],1977,https://www.imdb.com/title/tt0175982/
Неправильные копы,неправильные копы,"['кинокомедия', 'криминал']",['мэрилин мэнсон'],['квентин дюпьё'],"['франция', 'сша', 'россия']",2013,https://www.imdb.com/title/tt2166616/
"Слова, написанные на ветру","слова, написанные на ветру",['мелодрама'],"['рок хадсон', 'лорин бэколл']",['дуглас сирк'],['сша'],1956,https://www.imdb.com/title/tt0049966/
Неверно,неверно,"['драма', 'комедия']","['джек плотник', 'эрик жюдор', 'алексис дзена', 'уильям фихтнер']",['квентин дюпье'],['сша'],2012,https://www.imdb.com/title/tt1901040/
Излом времени,излом времени,"['научное фэнтези', 'приключения', 'семейный', 'мелодрама']","['опра уинфри', 'риз уизерспун', 'минди калинг', 'гугу мбата-роу', 'майкл пенья', 'зак галифианакис', 'крис пайн']",['ава дюверней'],['сша'],2018,https://www.imdb.com/title/tt1620680/
Самоубийцы: История любви,самоубийцы: история любви,['трагикомедия'],"['патрик фьюджит', 'шэннин соссамон', 'ши уигхэм']",['горан дукич'],['сша'],2006,https://www.imdb.com/title/tt0477139/
Рестлер,рестлер,['драма'],"['микки рурк', 'мариса томей']",['даррен аронофски'],"['сша', 'франция']",2008,https://www.imdb.com/title/tt1125849/
Команда разрушителей,команда разрушителей,['шпионский фильм'],"['дин мартин', 'шэрон тейт', 'нэнси кван']",['фил карлсон'],['сша'],1968,https://www.imdb.com/title/tt0065225/
Я боролся с Эрнестом Хемингуэем,я боролся с эрнестом хемингуэем,['мелодрама'],"['роберт дюваль', 'ричард харрис', 'ширли маклейн']",['рэнда хейнс'],['сша'],1993,https://www.imdb.com/title/tt0108596/
Борец и клоун,борец и клоун,['драма'],"['станислав чекан', '[1]', 'александр михайлов']","['константин юдин', 'борис барнет']",['ссср'],1957,https://www.imdb.com/title/tt0050206/
Гнев человеческий,гнев человеческий,"['боевик', 'триллер']","['джейсон стейтем', 'скотт иствуд', 'холт маккэлани', 'джеффри донован', 'лаз алонсо', 'джош хартнетт', 'нив алгар', 'рауль кастильо']",['гай ричи'],"['великобритания', 'сша']",2021,https://www.imdb.com/title/tt11083552/
Гнев титанов,гнев титанов,"['боевик', 'приключения', 'фэнтези']","['сэм уортингтон', 'лиам нисон', 'рэйф файнс', 'эдгар рамирес', 'тоби кеббел', 'розамунд пайк', 'билл найи']",['джонатан либесман'],['сша'],2012,https://www.imdb.com/title/tt1646987/
A Wreath in Time,a wreath in time,['комедия'],"['мак сеннет', 'флоренс лоуренс', 'линда арвидсон']",['дэвид уорк гриффит'],['сша'],1909,https://www.imdb.com/title/tt0001099/
Войцек,войцек,['драма'],"['клаус кински', 'эва маттес']",['вернер херцог'],['фрг'],1979,https://www.imdb.com/title/tt0080149/
Раненый человек,раненый человек,['кинодрама'],"['жан-юг англад', 'витторио меццоджорно', 'ролан бертен', 'лиза кройцер', 'клод берри', 'хамму грайя', 'армин мюллер-шталь']",['патрис шеро'],['франция'],1983,https://www.imdb.com/title/tt0084085/
Что бы вы сделали…,что бы вы сделали…,"['ужасы', 'триллер']","['бриттани сноу', 'джеффри комбс', 'лоренс гиллиард-мл.']",['дэвид гай леви'],['сша'],2012,https://www.imdb.com/title/tt1999995/
Лица смерти,лица смерти,"['документальный фильм', 'ужасы']",['майкл карр'],['джон алан швартц'],['сша'],1979,https://www.imdb.com/title/tt0077533/
Самая плохая ведьма,самая плохая ведьма,"['семейный фильм', 'фэнтези']","['дайана ригг', 'тим карри', 'файруза балк']",['роберт янг'],['великобритания'],1986,https://www.imdb.com/title/tt0092239/
Так сложно любить отаку,так сложно любить отаку,"['романтическая комедия', 'драматический фильм']",['кэнто ямадзаки'],['юити фукуда'],['япония'],2020,https://www.imdb.com/title/tt9018612/
Червь,червь,"['драма', 'триллер']","['сергей шнырёв', 'анастасия сапожникова', 'вадим демчог', 'дмитрий персин', 'александр наумов', 'галина данилова']",['алексей мурадов'],['россия'],2006,https://www.imdb.com/title/tt0830801/
Самый лучший папа,самый лучший папа,['чёрная комедия'],"['робин уильямс', 'дэрил сабара', 'алекси гилмор']",['бобкэт голдтуэйт'],['сша'],2009,https://www.imdb.com/title/tt1262981/
Разные миры,разные миры,['драма'],"['джонатан кимбл симмонс', 'андреа ошварт', 'христофорос папакалиатис']",['христофорос папакалиатис'],['греция'],2015,https://www.imdb.com/title/tt3909336/
Самый быстрый «Индиан»,самый быстрый «индиан»,"['драма', 'биография']",['энтони хопкинс'],['роджер дональдсон'],"['сша', 'япония', 'швейцария', 'новая зеландия']",2005,https://www.imdb.com/title/tt0412080/
Армагеддец,армагеддец,"['фантастическая', 'комедия', 'альтернативный рок', 'инди-рок', 'мэдчестер', 'альтернативная танцевальная музыка', 'брит-поп', 'психоделический рок', 'данс-поп']",['ник фрост'],['эдгар райт'],"['сша', 'великобритания', 'япония', 'великобритания']",2013,https://www.imdb.com/title/tt1213663/
Мир без солнца,мир без солнца,['документальный фильм'],[],['жак-ив кусто'],"['франция', 'италия']",1964,https://www.imdb.com/title/tt0058364/
Война миров Z,война миров z,"['фильм о зомби', 'боевик']","['брэд питт', 'мирей инос']",['марк форстер'],['сша'],2013,https://www.imdb.com/title/tt0816711/
Башни-близнецы,башни-близнецы,['фильм-катастрофа'],"['николас кейдж', 'мария белло', 'майкл пенья', 'мэгги джилленхол']",['оливер стоун'],['сша'],2006,https://www.imdb.com/title/tt0469641/
Мир без воров,мир без воров,"['боевик', 'драма']","['энди лау', 'рене лю', 'гэ ю', 'ли бинбин']",['фэн сяоган'],"['китай', 'гонконг']",2004,https://www.imdb.com/title/tt0439884/
Мир на проводе,мир на проводе,['киберпанк'],['клаус лёвич'],['райнер вернер фасбиндер'],['фрг'],1973,https://www.imdb.com/title/tt0070904/
Весь мир в его объятиях,весь мир в его объятиях,"['приключения, романтика']",[],['рауль уолш'],['сша'],1952,https://www.imdb.com/title/tt0045339/
Мир по Гарпу,мир по гарпу,['комедия-драма'],"['робин уильямс', 'мэри бет хёрт', 'гленн клоуз', 'джон литгоу', 'аманда пламмер']",['джордж рой хилл'],['сша'],1982,https://www.imdb.com/title/tt0084917/
Выход рабочих с фабрики,выход рабочих с фабрики,['документальный'],['рабочие и работницы фабрики братьев люмьер'],['луи люмьер'],['франция'],1895,https://www.imdb.com/title/tt0000010/
Деловая девушка,деловая девушка,"['кинокомедия', 'мелодрама']","['мелани гриффит', 'сигурни уивер', 'харрисон форд']",['майк николс'],['сша'],1988,https://www.imdb.com/title/tt0096463/
Рабочий класс идёт в рай,рабочий класс идёт в рай,['драма'],['джан мария волонте'],['элио петри'],['италия'],1972,https://www.imdb.com/title/tt0066919/
Работа,работа,['комедия'],"['чарли чаплин', 'эдна пёрвиэнс']",['чарли чаплин'],['сша'],1915,https://www.imdb.com/title/tt0006313/
Сумасшедшая любовь,сумасшедшая любовь,['драма'],"['чарли пламмер', 'тейлор расселл']",['тор фройденталь'],['сша'],2020,https://www.imdb.com/title/tt8045906/
Слова,слова,['драма'],"['брэдли купер', 'оливия уайлд', 'зои салдана', 'джереми айронс', 'бен барнс', 'деннис куэйд']","['брайан клагман', 'ли стернтал']",['сша'],2012,https://www.imdb.com/title/tt1840417/
Вуди Вудпекер,вуди вудпекер,['комедия'],"['эрик бауза', 'тимоти омандсон']",['алекс замм'],['сша'],2017,https://www.imdb.com/title/tt2114504/
Вудсток,вудсток,"['документальный', 'музыкальный']",[],['майкл уэдли'],['сша'],1970,https://www.imdb.com/title/tt0066580/
Тёмный лес,тёмный лес,"['ужасы', 'триллер']","['брюс кэмпбелл', 'агнес бракнер', 'эмма кэмпелл', 'патришия кларксон']",['лаки макки'],"['сша', 'великобритания', 'германия']",2005,https://www.imdb.com/title/tt0380066/
Декамерон,декамерон,"['комедия', 'драма']","['рус.', 'паола кортеллези', 'рус.']",['паоло и витторио тавиани'],[],2015,https://www.imdb.com/title/tt3596952/
Уондерленд,уондерленд,"['триллер', 'драма']","['вэл килмер', 'кейт босуорт', 'лиза кудроу', 'джош лукас', 'тим блейк нельсон', 'дилан макдермотт']",['джеймс кокс'],"['сша', 'канада']",2003,https://www.imdb.com/title/tt0335563/
Чудесная страна,чудесная страна,['драма'],"['ширли хендерсон', 'джина макки']",['майкл уинтерботтом'],['великобритания'],1999,https://www.imdb.com/title/tt0171865/
Чудесный волшебник страны Оз,чудесный волшебник страны оз,"['приключения', 'фэнтези']","['биби даниелс', 'хобарт босфорт', 'юджини бессерер']",['отис тёрнер'],['сша'],1910,https://www.imdb.com/title/tt0001463/
Чудо-женщина 1984,чудо-женщина 1984,['супергеройский фильм'],"['галь гадот', 'диана принс / чудо-женщина', 'крис пайн', 'стив тревор', 'кристен уиг', 'барбара энн минерва / гепарда', 'педро паскаль', 'максвелл лорд', 'робин райт', 'антиопа', 'конни нильсен', 'ипполита', 'кристоффер полаха', 'оливер коттон', 'амр вакед', 'стюарт миллиган', 'президент сша', 'рави патель', 'наташа ротуэлл', 'келвин ю', 'габриэлла уайлд', 'линда картер']",['пэтти дженкинс'],['сша'],2020,https://www.imdb.com/title/tt7126948/
Прекрасные лузеры: Особый мир,прекрасные лузеры: особый мир,['документальный фильм'],['варшавский кинофестиваль'],['рус.'],"['литва', 'латвия', 'италия', 'швейцария', 'бельгия']",2017,https://www.imdb.com/title/tt7495440/
Чудо-женщина,чудо-женщина,['супергеройский фильм'],"['галь гадот', 'крис пайн', 'робин райт', 'дэнни хьюстон', 'дэвид тьюлис', 'конни нильсен', 'елена анайя']",['пэтти дженкинс'],['сша'],2017,https://www.imdb.com/title/tt0451279/
Чудо,чудо,['драма'],"['джейкоб трамбле', 'джулия робертс', 'оуэн уилсон', 'ноа джуп', 'изабела видович']",['стивен чбоски'],['сша'],2017,https://www.imdb.com/title/tt2543472/
Вундеркинды,вундеркинды,['комедийная драма'],"['майкл дуглас', 'тоби магуайр', 'фрэнсис макдорманд', 'кэти холмс', 'рип торн', 'роберт дауни-младший']",['кёртис хэнсон'],"['сша', 'германия', 'япония', 'великобритания']",2000,https://www.imdb.com/title/tt0185014/
Колесо чудес,колесо чудес,['драма'],"['кейт уинслет', 'джастин тимберлейк', 'джуно темпл', 'джеймс белуши']",['вуди аллен'],['сша'],2017,https://www.imdb.com/title/tt5825380/
«Женская собственность»,«женская собственность»,"['драма', 'мелодрама']","['константин хабенский', 'елена сафонова', 'александр абдулов', 'амалия мордвинова']",['дмитрий месхиев'],['россия'],1998,https://www.imdb.com/title/tt0284681/
Женщины в беде,женщины в беде,['комедия'],"['карла гуджино', 'конни бриттон', 'эммануэль шрики', 'марли шелтон']",['себастьян гутьеррес'],['сша'],2009,https://www.imdb.com/title/tt1247704/
Влюблённые женщины,влюблённые женщины,['драма'],"['алан бейтс', 'оливер рид', 'гленда джексон']",['кен рассел'],['великобритания'],1969,https://www.imdb.com/title/tt0066579/
Женщины ГУЛАГа,женщины гулага,['документальный'],[],['марианна яровская'],['сша'],2018,https://www.imdb.com/title/tt7622662/
Женщина в камере №9,женщина в камере №9,['women in prison'],"['карин гамбье', 'ховард вернон', 'сьюзен хэмингуэй', 'эстер штудер']",['хесус франко'],['швейцария'],1977,https://www.imdb.com/title/tt0123847/
Женщины в клетках,женщины в клетках,['драма'],['пэм гриер'],['жерар де лион'],"['сша', 'филиппины']",1971,https://www.imdb.com/title/tt0067995/
Женщины,женщины,['трагикомедия'],"['мег райан', 'ева мендес', 'аннетт бенинг']",['дайан инглиш'],['сша'],2008,https://www.imdb.com/title/tt0430770/
Их двое,их двое,['мелодрама'],"['марина влади', 'лили монори', 'миклош толнаи', 'ян новицкий']",['марта месарош'],"['венгрия', 'франция']",1977,https://www.imdb.com/title/tt0076968/
Чрево,чрево,['драма'],"['ева грин', 'мэтт смит', 'лесли мэнвилл']",['бенедек флигауф'],"['германия', 'франция', 'венгрия', 'великобритания']",2010,https://www.imdb.com/title/tt1216520/
Женская месть,женская месть,"['фильм нуар', 'мелодрама']","['шарль буайе', 'энн блит', 'джессика тэнди']",['золтан корда'],['сша'],1948,https://www.imdb.com/title/tt0040002/
Бабье царство,бабье царство,"['военная', 'драма']","['римма маркова', 'нина сазонова']",['алексей салтыков'],['ссср'],1967,https://www.imdb.com/title/tt0174482/
Женщина года,женщина года,"['комедия', 'comedy of remarriage']","['спенсер трейси', 'кэтрин хэпбёрн']",['джордж стивенс'],['сша'],1942,https://www.imdb.com/title/tt0035567/
Женщина в окне,женщина в окне,"['триллер', 'драма', 'детектив']","['эми адамс', 'уайатт рассел', 'гэри олдмен']",['джо райт'],['сша'],2021,https://www.imdb.com/title/tt6111574/
Женщина в окне,женщина в окне,"['нуар', 'триллер', 'детектив']","['эдвард г. робинсон', 'джоан беннетт', 'рэймонд мэсси', 'эдмунд бреон', 'дэн дьюриа']",['фриц ланг'],['сша'],1944,https://www.imdb.com/title/tt0037469/
"Женщина, которая убежала","женщина, которая убежала",['драма'],"['ким мин хи', 'cо ён хва', 'сон сон ми']",['хон сан су'],['республика корея'],2020,https://www.imdb.com/title/tt11697690/
Женщина под влиянием,женщина под влиянием,['драма'],"['питер фальк', 'джина роулендс']",['джон кассаветис'],['сша'],1974,https://www.imdb.com/title/tt0072417/
Женщина сверху,женщина сверху,"['романтическая комедия', 'лгбт-тематика в кино']","['пенелопа крус', 'мурилу бенисиу', 'гарольд перрино', 'марк фойерстин']",['фина торрес'],['сша'],2000,https://www.imdb.com/title/tt0206420/
Женщина в красном,женщина в красном,"['комедия', 'мелодрама']","['джин уайлдер', 'чарлз гродин', 'келли леброк']",['джин уайлдер'],['сша'],1984,https://www.imdb.com/title/tt0088414/
Женщина на Луне,женщина на луне,['фантастика'],"['вилли фрич', 'герда маурус', 'густав фон вангенхайм']",['фриц ланг'],['германия'],1929,https://www.imdb.com/title/tt0019901/
Соседка,соседка,"['драма', 'мелодрама']","['фанни ардан', 'жерар депардье']",['франсуа трюффо'],['франция'],1981,https://www.imdb.com/title/tt0082370/
Парижанка,парижанка,['драма'],"['эдна пёрвиэнс', 'карл миллер', 'адольф менжу']",['чарльз чаплин'],['сша'],1923,https://www.imdb.com/title/tt0014624/
Женщина из Москвы,женщина из москвы,['драма'],"['пола негри', 'норман керри']",['людвиг бергер'],['сша'],1928,https://www.imdb.com/title/tt0018592/
«Женщина - это будущее мужчины»,«женщина - это будущее мужчины»,"['драма', 'комедия']","['ю чжи тэ', 'тхэ-у ким', 'сон хён а']",['хон сан су'],['республика корея'],2004,https://www.imdb.com/title/tt0403692/
Женщина в зелёном,женщина в зелёном,['детектив'],"['бэзил рэтбоун', 'найджел брюс']",['рой уильям нейл'],['сша'],1945,https://www.imdb.com/title/tt0038259/
Женщина в золоте,женщина в золоте,['драма'],"['хелен миррен', 'райан рейнольдс', 'даниэль брюль', 'кэти холмс', 'татьяна маслани', 'макс айронс', 'чарльз дэнс', 'элизабет макговерн', 'джонатан прайс']",['саймон кертис'],"['германия', 'великобритания', 'сша', 'австрия']",2015,https://www.imdb.com/title/tt2404425/
Женщина из пятого округа,женщина из пятого округа,['триллер'],"['хоук, итан', 'кристин скотт томас', 'иоанна кулиг', 'самир гесми']",['павел павликовский'],"['франция', 'польша', 'великобритания']",2011,https://www.imdb.com/title/tt1605777/
Женщина в песках,женщина в песках,['драма'],"['эйдзи окада', 'кёко кисида']",['хироси тэсигахара'],['япония'],1964,https://www.imdb.com/title/tt0058625/
Женщина в чёрном,женщина в чёрном,"['нуар', 'триллер', 'ужасы', 'драма', 'мистика', '[1]']","['дэниел рэдклифф', 'киаран хайндс']",['джеймс уоткинс'],"['великобритания', 'канада']",2012,https://www.imdb.com/title/tt1596365/
Женщина в черном 2: Ангел смерти,женщина в черном 2: ангел смерти,"['ужасы', 'мистика', 'драма']","['фиби фокс', 'джереми ирвин', 'хелен маккрори']",['том харпер'],"['сша', 'великобритания', 'канада']",2014,https://www.imdb.com/title/tt2339741/
Женщина,женщина,"['ужасы', 'драма', 'триллер', 'артхаус']","['поллианна макинтош', 'карли бэйкер', 'шена бэрри', 'марсия беннетт', 'анджела беттис']",['лаки макки'],['сша'],2011,https://www.imdb.com/title/tt1714208/
Баскетболистка № 5,баскетболистка № 5,"['драма', 'мелодрама']","['лю цзин', 'цинь и', 'цао ци-вэй']",['се цзинь'],['китай'],1957,https://www.imdb.com/title/tt0081770/
Женщина,женщина,['комедия'],"['чарли чаплин', 'эдна пёрвиэнс']",['чарли чаплин'],['сша'],1915,https://www.imdb.com/title/tt0006309/
Волки охотятся ночью,волки охотятся ночью,['детектив / мелодрама'],"['жан-пьер омон', 'карла дель поджо', 'фернан леду']",['бернар бордери'],"['франция', 'италия']",1952,https://www.imdb.com/title/tt0043956/
Росомаха: Бессмертный,росомаха: бессмертный,"['супергеройский', 'боевик']","['хью джекман', 'светлана ходченкова', 'тао окамото', 'рила фукусима']",['джеймс мэнголд'],"['сша', 'великобритания']",2013,https://www.imdb.com/title/tt1430132/
Волки,волки,"['ужасы', 'боевик']","['лукас тилл', 'джейсон момоа', 'мерритт паттерсон']",['дэвид хейтер'],"['франция', 'канада']",2014,https://www.imdb.com/title/tt1403241/
Волкодав,волкодав,['боевик'],"['инара слуцка', 'алексей гуськов', 'анатолий ромашин', 'валерий баринов', 'александр фатюшин', 'владимир басов']",['михаил туманишвили'],['ссср'],1991,https://www.imdb.com/title/tt0103225/
Волки,волки,['ужасы'],"['грегори хайнс', 'альберт финни', 'эдвард джеймс олмос', 'дайан венора']",['майкл уодли'],['сша'],1981,https://www.imdb.com/title/tt0083336/
«Волкодав из рода Серых псов»,«волкодав из рода серых псов»,['славянское фэнтези'],"['александр бухаров', 'оксана акиньшина', 'евгения свиридова', 'андрей руденский', 'артём семакин']",['николай лебедев'],['россия'],2006,https://www.imdb.com/title/tt0416316/
Турбаза «Волчья»,турбаза «волчья»,"['триллер', 'фантастика']",['мирослав махачек'],['вера хитилова'],['чехословакия'],1985,https://www.imdb.com/title/tt0090271/
Зов волка,зов волка,"['триллер', 'боевик', 'научная фантастика']","['франсуа сивиль', 'омар си', 'матьё кассовиц', 'реда катеб']",['абель ланзак'],['франция'],2019,https://www.imdb.com/title/tt7458762/
Человек-волк,человек-волк,"['ужасы', 'триллер', 'драма']","['бенисио дель торо', 'энтони хопкинс', 'эмили блант', 'хьюго уивинг', 'джеральдина чаплин', 'марио марин-боркес', 'эйса баттерфилд', 'кристина контес']",['джо джонстон'],['сша'],2010,https://www.imdb.com/title/tt0780653/
Война волков 2,война волков 2,['боевик'],"['селина джейд', 'фрэнк грилло', 'чжан хань', 'у ган']",['джеки ву'],['китай'],2017,https://www.imdb.com/title/tt7131870/
Война волков,война волков,"['боевик', 'военный фильм']","['рус.', 'юй нань', 'скотт эдкинс']",['рус.'],['китай'],2015,https://www.imdb.com/title/tt3540136/
Оборотни,оборотни,['ужасы'],"['аллен скотти', 'дженнифер кортни']","['донован келли', 'джим уайнорски']",['сша'],2002,https://www.imdb.com/title/tt0328655/
Волк с Уолл-стрит,волк с уолл-стрит,"['фильм-биография', 'драма', 'чёрная комедия']","['леонардо ди каприо', 'джона хилл', 'марго робби', 'мэттью макконахи', 'жан дюжарден']",['мартин скорсезе'],"['сша', 'сша']",2013,https://www.imdb.com/title/tt0993846/
Тотем волка,тотем волка,['приключения'],['батдоржийн баасанджав'],['жан-жак анно'],"['китай', 'франция']",2015,https://www.imdb.com/title/tt2909116/
Оборотень,оборотень,['комедия', 'ужасы'],"['рики линдхоум', 'роберт форстер', 'маршалл оллман']",['джим каммингс'],['сша'],2020,https://www.imdb.com/title/tt11140488/
Волчья яма,волчья яма,['ужасы'],"['джон джэррэт', 'кассандра маграт', 'кести морасси', 'натан филлипс']",['грег маклин'],['австралия'],2005,https://www.imdb.com/title/tt0416315/
Волчья яма 2,волчья яма 2,"['ужасы', '\nслэшер']","['джон джэррет', 'райан корр']",['грег маклин'],['австралия'],2013,https://www.imdb.com/title/tt2004432/
Волк,волк,['драматический фильм'],"['джордж маккей', 'лили-роуз депп', 'пэдди консидайн']",['натали бьянчери'],[],2021,https://www.imdb.com/title/tt10698174/
Кровь волка,кровь волка,"['ужасы', 'фэнтези', 'драма']",[],['джордж чесэбро'],['сша'],1925,https://www.imdb.com/title/tt0016545/
Волк,волк,"['триллер', 'ужасы', 'драма']","['джек николсон', 'мишель пфайффер', 'джеймс спейдер', 'кейт неллиган', 'кристофер пламмер']",['майк николс'],['сша'],1994,https://www.imdb.com/title/tt0111742/
wkw/tk/1996@7′55″hk.net,wkw/tk/1996@7′55″hk.net,['короткометражное кино'],"['таданобу асано', 'карен мок']",['вонг карвай'],['япония'],1996,https://www.imdb.com/title/tt0379067/
Волшебник,волшебник,"['драма', 'роуд-муви']","['фред сэвидж', 'люк эдвардс', 'дженни льюис', 'кристиан слейтер']",['тодд холланд'],['сша'],1989,https://www.imdb.com/title/tt0098663/
Кудесник крови,кудесник крови,['ужасы'],"['кип парду', 'бижу филлипс', 'криспин гловер', 'джеффри комбс', 'брэд дуриф']",['джерами кастен'],['сша'],2007,https://www.imdb.com/title/tt0765487/
Виз,виз,"['мюзикл', 'приключения', 'семейный фильм', 'фэнтези']","['дайана росс', 'майкл джексон']",['сидни люмет'],['сша'],1978,https://www.imdb.com/title/tt0078504/
Кудесник крови,кудесник крови,['ужасы'],"['рэй сейджер', 'джуди клер', 'уейн ретей', 'фил лоренсон']",['гершел гордон льюис'],['сша'],1970,https://www.imdb.com/title/tt0066578/
Свидетель обвинения,свидетель обвинения,['детектив'],"['чарльз лоутон', 'тайрон пауэр', 'марлен дитрих']",['билли уайлдер'],['сша'],1957,https://www.imdb.com/title/tt0051201/
Свидетель убийства,свидетель убийства,['фильм нуар'],"['барбара стэнвик', 'джордж сэндерс', 'гэри меррилл']",['рой роулэнд'],['сша'],1954,https://www.imdb.com/title/tt0047679/
Свидетель,свидетель,"['триллер', 'мелодрама']","['келли макгиллис', 'харрисон форд']",['питер уир'],['сша'],1985,https://www.imdb.com/title/tt0090329/
Предостережение,предостережение,['фантастика'],"['тара наттлер', 'кристофер нельсон', 'джек пэланс']",['грейдон кларк'],['сша'],1980,https://www.imdb.com/title/tt0081764/
Без жалости,без жалости,"['боевик', 'триллер']","['джейми белл', 'джони тёрнер-смит', 'люк митчелл', 'джек кеси', 'лорен лондон', 'колман доминго', 'гай пирс']",['стефано соллима'],['сша'],2021,https://www.imdb.com/title/tt0499097/
Свидетель,свидетель,['сатирическая комедия'],[],['петер бачо'],['венгрия'],1969,https://www.imdb.com/title/tt0065067/
Трое в каноэ,трое в каноэ,['комедия'],"['мэттью лиллард', 'сет грин', 'дэкс шепард', 'берт рейнолдс', 'итан сапли']",['стивен брилл'],['сша'],2004,https://www.imdb.com/title/tt0364751/
Без единой улики,без единой улики,"['криминальная', 'комедия']","['джеффри джонс', 'бен кингсли', 'майкл кейн']",['том эберхардт'],['великобритания'],1988,https://www.imdb.com/title/tt0096454/
"Гарри — друг, который желает вам добра","гарри — друг, который желает вам добра","['драма', 'триллер']","['лоран люка', 'сержи лопес', 'матильда сенье']",['доминик молль'],['франция'],2000,https://www.imdb.com/title/tt0216800/
С почестями,с почестями,"['мелодрама', 'комедия']","['джо пеши', 'брендан фрэйзер', 'мойра келли', 'патрик демпси', 'джош хэмилтон']",['алек кешишян'],['сша'],1994,https://www.imdb.com/title/tt0111732/
В лесах,в лесах,"['ужасы', 'короткометражный фильм']","['брюс кэмпбелл', 'эллен сендвейсс', 'скотт шпигель', 'мэри валенти']",['сэм рейми'],['сша'],1978,https://www.imdb.com/title/tt0078503/
